Fecha,Casos,Fallecidos,Recuperados,Terapia,Descartados por investigacion epidemiologica,Importados,Contacto estrecho / Conglomerado,Transmision Comunitaria,En estudio,Tests negativos,Tests positivos,Importados Acumulados,Contacto estrecho / Conglomerado Acumulados,Transmision Comunitaria Acumulados,En estudio Acumulados,Tests Positivos Acumulados,Tests Negativos Acumulados
03/03/2020,1,0,,,,1,,,,,1,1,0,0,0,1,
04/03/2020,1,0,,,,0,,,,,0,1,0,0,0,1,
05/03/2020,1,0,,,,0,,,,,0,1,0,0,0,1,
06/03/2020,2,0,,,,2,,,,,2,3,0,0,0,3,
07/03/2020,9,0,,,,6,,,,,6,9,0,0,0,9,
08/03/2020,12,0,,,,3,,,,,3,12,0,0,0,12,
09/03/2020,17,1,,,,5,,,,,5,17,0,0,0,17,
10/03/2020,19,1,,,,2,,,,,2,19,0,0,0,19,
11/03/2020,21,1,,,,2,,,,,2,21,0,0,0,21,
12/03/2020,31,1,,,,7,3,,,,10,28,3,0,0,31,
13/3/2020,34,2,,,,2,1,,,,3,30,4,0,0,34,
14/3/2020,45,2,,,,10,1,,,,11,40,5,0,0,45,
15/3/2020,56,2,,,,8,3,,,,11,48,8,0,0,56,
16/3/2020,65,2,,,,8,1,,,,9,56,9,0,0,65,464
17/3/2020,78,2,,,686,11,2,,,32,13,67,11,0,0,78,496
18/3/2020,97,3,18,,782,13,5,,1,66,19,80,16,0,1,97,562
19/3/2020,128,3,23,,983,20,6,,5,143,31,100,22,0,6,128,705
20/3/2020,158,3,31,,1029,22,4,,4,167,30,122,26,0,10,158,872
21/3/2020,225,4,31,,,45,12,,10,156,67,167,38,0,20,225,1028
22/3/2020,266,4,51,,1052,22,21,1,-4,243,40,189,59,1,16,265,1271
23/3/2020,301,4,52,,1242,17,5,,14,182,36,206,64,1,30,301,1453
24/3/2020,385,6,63,,1735,41,20,,23,0,84,247,84,1,53,385,1453
25/3/2020,502,8,72,22,1570,3,18,,96,493,117,250,102,1,149,502,1946
26/3/2020,589,12,75,25,1870,37,24,,26,312,87,287,126,1,175,589,2258
27/3/2020,690,17,80,33,,100,41,,-40,559,101,387,167,1,135,690,2817
28/3/2020,745,19,91,44,,21,18,,16,,55,408,185,1,151,745,3215
29/3/2020,820,20,228,53,,34,22,,19,365,75,442,207,1,170,820,3580
30/3/2020,966,24,240,55,,47,,,99,485,146,489,207,1,269,966,4065
31/3/2020,1054,27,248,55,,40,88,,-40,532,88,529,295,1,229,1054,4597
01/04/2020,1133,32,256,72,,51,54,,-26,547,79,580,349,1,203,1133,5144
02/04/2020,1265,36,266,82,,42,49,102,-61,976,132,622,398,103,142,1265,6120
03/04/2020,1353,42,279,86,,34,46,10,-2,1015,88,656,444,113,140,1353,7135
04/04/2020,1451,43,280,87,394,18,46,6,28,359,98,674,490,119,168,1451,7494
05/04/2020,1554,46,325,94,383,21,46,29,7,632,103,695,536,148,175,1554,8125
06/04/2020,1628,53,338,96,458,23,27,27,-3,582,74,718,563,175,172,1628,8707
07/04/2020,1715,60,358,98,418,20,25,30,12,1313,87,738,588,205,184,1715,10020
08/04/2020,1795,65,365,98,450,29,30,19,2,1365,80,767,618,224,186,1795,11385
09/04/2020,1894,79,375,,,18,23,37,21,,99,785,641,261,207,1894,
10/04/2020,1975,82,440,115,566,4,31,29,17,2199,81,789,672,290,224,1975,13584
11/04/2020,2142,89,468,83,464,27,40,14,86,1315,167,816,712,304,310,2142,15016
12/04/2020,2208,95,515,113,477,5,54,14,-7,923,66,821,766,318,303,2208,15939
13/4/2020,2277,98,559,116,479,9,24,36,0,1306,69,830,790,354,303,2277,17245
14/4/2020,2443,105,596,117,486,3,67,39,57,1170,166,833,857,393,360,2443,18415
15/4/2020,2571,112,631,121,497,7,46,32,43,1733,128,840,903,425,403,2571,20148
16/4/2020,2669,122,666,126,508,5,48,23,22,1654,98,845,951,448,425,2669,21802
17/4/2020,2758,129,685,127,505,6,46,26,11,1489,89,851,997,474,436,2758,23291
18/4/2020,2839,132,709,123,503,5,187,22,-133,1465,81,856,1184,496,303,2839,24756
19/4/2020,2941,134,737,126,536,2,51,42,7,1366,102,858,1235,538,310,2941,26122
